,London Bloomsbury,,London Harlington,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
Latitude,51.52229,,51.48879,,51.52253,,51.52105,,51.425286,,51.49467,
Longitude,-0.125889,,-0.441614,,-0.154611,,-0.213492,,-0.345606,,-0.131931,
Site Type,Urban Background,,Urban Industrial,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,Camden,,Hillingdon,,Westminster,,Kensington,,Richmond,,Westminster,
Date,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
02-04-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),5,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),5,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
03-04-20,8,V ugm-3 (BAM),8,V ugm-3 (Ref.eq),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),7,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
04-04-20,12,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
05-04-20,10,V ugm-3 (BAM),9,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),9,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
06-04-20,6,V ugm-3 (BAM),6,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),6,V ugm-3 (Ref.eq),9,V ugm-3 (BAM)
07-04-20,14,V ugm-3 (BAM),11,V ugm-3 (Ref.eq),13,V ugm-3 (TEOM FDMS),11,V ugm-3 (Ref.eq),11,V ugm-3 (Ref.eq),16,V ugm-3 (BAM)
08-04-20,35,V ugm-3 (BAM),32,V ugm-3 (Ref.eq),35,V ugm-3 (TEOM FDMS),34,V ugm-3 (Ref.eq),34,V ugm-3 (Ref.eq),39,V ugm-3 (BAM)
09-04-20,43,V ugm-3 (BAM),39,V ugm-3 (Ref.eq),42,V ugm-3 (TEOM FDMS),40,V ugm-3 (Ref.eq),43,V ugm-3 (Ref.eq),46,V ugm-3 (BAM)
10-04-20,30,V ugm-3 (BAM),29,V ugm-3 (Ref.eq),29,V ugm-3 (TEOM FDMS),27,V ugm-3 (Ref.eq),27,V ugm-3 (Ref.eq),33,V ugm-3 (BAM)
11-04-20,23,V ugm-3 (BAM),22,V ugm-3 (Ref.eq),22,V ugm-3 (TEOM FDMS),19,V ugm-3 (Ref.eq),19,V ugm-3 (Ref.eq),25,V ugm-3 (BAM)
